20,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-CLI 2025.3.0 RC (1415)"
,CompMgr:,,"BEMCmpMgr 2025.3.0-RC (1083)"
,OpenStudio:,,"n/a"
,EnergyPlus:,,"n/a"
,CSE:,,"CSE 1.0.0-rc1 EXE"
,Ruleset:,,"Constructed At Runtime"
Run Title:,,,"MF8  Individual Supply + Individual Exhaust (SZHP-HRV)"
Run Date/Time:,,,"2026-09-23 13:38:28"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,7320
Gross-Up adjustment to NEM3:,,,6.6,%
Model:,,,"Proposed"
Model File:,,,"C:\Users\MichaelSawford\Documents\Claude\Projects\Complex HVAC\v1.1_build\output\EX02_MF_Central-VRF-HP\EX02_MF08_Central_VRF_HP_CZ09\EX02_MF08_Res_VRF_TYPE 2_HP_CZ09.cibd25x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
1,1,10, 01/01 10,0,0,0.147841,0,0,1.82204,0,1.32977,3.20538,0.198428,0,1.96988,6.70345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75832,1269.81,1106.78,2.3791,89.9626,100,0.000125878,0.0060051,0.006288,0,-7.52365,0,1.83385,
1,1,11, 01/01 11,0,0,0.147841,0,0,2.42966,0,1.35231,15.0264,0.184743,0,2.5775,19.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76108,1269.81,1106.78,2.83208,89.9626,100,0.000149846,0.0060051,0.006288,0,-9.16202,0,1.83601,
1,1,12, 01/01 12,0,0,0.147841,0,0,1.93802,0,1.33088,7.34225,0.171058,0,2.08586,10.9301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76842,1269.81,1106.78,2.70532,89.9626,100,0.000143139,0.0060051,0.006288,0,-9.77442,0,1.84178,
1,1,13, 01/01 13,0,0,0.147841,0,0,1.18268,0,1.31879,0.848475,0.143689,0,1.33052,3.64148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76476,1269.81,1106.78,2.82681,89.9626,100,0.000149566,0.0060051,0.006288,0,-9.50515,0,1.8389,
1,1,14, 01/01 14,0,0,0.147841,0,0,0.839331,0,1.35906,0.829665,0.143689,0,0.987172,3.31958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7652,1269.81,1106.78,2.88089,89.9626,100,0.000152428,0.0060051,0.006288,0,-5.82926,0,1.83925,
1,1,15, 01/01 15,0,0,0.147841,0,0,0,0,1.42556,0.84181,0.143689,0,0.147841,2.5589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76532,1269.81,1106.78,2.92757,89.9626,100,0.000154898,0.0060051,0.006288,0,-4.77956,0,1.83935,
1,1,16, 01/01 16,0,0,0.147841,0,0,0,0,1.49922,0.884262,0.177901,0,0.147841,2.70923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06237,1269.81,1106.78,3.29537,89.9626,100,0.000174358,0.0060051,0.006288,0,-2.92382,0,2.07264,
1,1,17, 01/01 17,0,0,0.147841,0,0,0.051926,0,1.68241,1.02071,0.212113,0,0.199767,3.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35764,1269.81,1106.78,3.86875,89.9626,100,0.000204695,0.0060051,0.006288,0,-0.355207,0,2.30455,
1,1,18, 01/01 18,0,0,0.147841,0,0,0.453951,0,1.89695,1.33561,0.301063,0,0.601792,4.13541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40918,1269.81,1106.78,3.94448,89.9626,100,0.000208702,0.0060051,0.006288,0,0,0,2.34502,
1,1,19, 01/01 19,0,0,0.147841,0,0,0.817508,0,2.03865,1.3043,0.574758,0,0.965349,4.88306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51492,1269.81,1106.78,4.16914,89.9626,100,0.000220589,0.0060051,0.006288,0,0,0,2.42807,
1,1,20, 01/01 20,0,0,0.147841,0,0,0.968573,0,2.11929,1.67614,0.800555,0,1.11641,5.7124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60367,1269.81,1106.78,4.37739,89.9626,100,0.000231608,0.0060051,0.006288,0,0,0,2.49777,
1,1,21, 01/01 21,0,0,0.147841,0,0,1.19668,0,2.19655,0.956374,0.773183,0,1.34452,5.27063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59307,1269.81,1106.78,4.33943,89.9626,100,0.000229599,0.0060051,0.006288,0,0,0,2.48944,
1,1,22, 01/01 22,0,0,0.147841,0,0,1.25589,0,2.17607,2.75403,0.656865,0,1.40373,6.99069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69524,1269.81,1106.78,4.51762,89.9626,100,0.000239027,0.0060051,0.006288,0,0,0,2.56969,
1,1,23, 01/01 23,0,0,0.147841,0,0,0.941494,0,1.94545,0.50755,0.431067,0,1.08934,3.9734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37868,1269.81,1106.78,4.52964,89.9626,100,0.000239663,0.0060051,0.006288,0.000277533,0,0,3.10645,
1,1,24, 01/01 24,0,0,0.147841,0,0,1.87792,0,1.65907,0.479031,0.266851,0,2.02576,4.43071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45012,1269.81,1106.78,4.53692,89.9626,100,0.000240048,0.0060051,0.006288,0.000718441,0,0,3.94794,
1,2,1, 01/02 01,0,0,0.147841,0,0.0659839,0.471449,0,1.35815,0.440291,0.157374,0,0.685274,2.64109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4923,1269.81,1106.78,8.44344,89.9626,100,0.000446742,0.0060051,0.006288,0.000518385,0,0,5.55184,
1,2,2, 01/02 02,0,0,0.147841,0,0.0659839,0.306701,0,1.23878,0.420946,0.130004,0,0.520526,2.31026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5695,1269.81,1106.78,8.43068,89.9626,100,0.000446067,0.0060051,0.006288,0.000175212,0,0,4.8271,
1,2,3, 01/02 03,0,0,0.147841,0,0.0659839,0,0,1.19145,0.408107,0.102635,0,0.213825,1.91602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1615,1269.81,1106.78,8.07648,89.9626,100,0.000427327,0.0060051,0.006288,0.000173941,0,0,4.50669,
1,2,4, 01/02 04,0,0,0.147841,0,0.0659839,0,0,1.18438,0.401707,0.11632,0,0.213825,1.91623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86281,1269.81,1106.78,5.75461,89.9626,100,0.000304476,0.0060051,0.006288,0.000305397,0,0,3.48668,
1,2,5, 01/02 05,0,0,0.147841,0,0.0659839,0,0,1.12854,0.393061,0.143689,0,0.213825,1.87912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47133,1269.81,1106.78,4.70149,89.9626,100,0.000248756,0.0060051,0.006288,0.000305397,0,0,3.17922,
1,2,6, 01/02 06,0,0,0.147841,0,0.0659839,0,0,1.22259,0.468883,0.212113,0,0.213825,2.11741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85023,1269.81,1106.78,5.73985,89.9626,100,0.000303695,0.0060051,0.006288,0.000305397,0,0,3.4768,
1,2,7, 01/02 07,0,0,0.147841,0,0.0659839,0,0,1.39369,0.539539,0.287378,0,0.213825,2.43443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6686,1269.81,1106.78,7.50866,89.9626,100,0.000397283,0.0060051,0.006288,0.000705071,0,0,4.90494,
1,2,8, 01/02 08,0,0,0.147841,0,0.0659839,0,0,1.49912,0.610853,0.280536,0,0.213825,2.60434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60515,1269.81,1106.78,6.16084,89.9626,100,0.00032597,0.0060051,0.006288,0.000176325,-0.0340126,0,3.28432,
1,2,9, 01/02 09,0,0,0.147841,0,0.0659839,0.484308,0,1.3898,0.605159,0.23264,0,0.698134,2.92574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49882,1269.81,1106.78,5.20798,89.9626,100,0.000275554,0.0060051,0.006288,0,-0.805243,0,2.41543,
1,2,10, 01/02 10,0,0,0.147841,0,0,1.58638,0,1.30466,0.552022,0.198428,0,1.73422,3.78933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4775,1269.81,1106.78,5.20583,89.9626,100,0.00027544,0.0060051,0.006288,0,-0.85445,0,2.39868,
1,2,11, 01/02 11,0,0,0.147841,0,0,2.28125,0,1.32012,1.30114,0.184743,0,2.42909,5.2351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47671,1269.81,1106.78,5.22056,89.9626,100,0.00027622,0.0060051,0.006288,0,-1.14171,0,2.39806,
1,2,12, 01/02 12,0,0,0.147841,0,0,2.28116,0,1.32012,1.78845,0.171058,0,2.429,5.70863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47253,1269.81,1106.78,4.12507,89.9626,100,0.000218257,0.0060051,0.006288,0,-1.39498,0,2.39477,
1,2,13, 01/02 13,0,0,0.147841,0,0,1.26998,0,1.32217,0.840154,0.143689,0,1.41782,3.72384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46866,1269.81,1106.78,4.06489,89.9626,100,0.000215074,0.0060051,0.006288,0,-1.48389,0,2.39174,
1,2,14, 01/02 14,0,0,0.147841,0,0,1.20977,0,1.35189,0.606782,0.143689,0,1.35761,3.45997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47764,1269.81,1106.78,4.09321,89.9626,100,0.000216572,0.0060051,0.006288,0,-0.737417,0,2.39879,
1,2,15, 01/02 15,0,0,0.147841,0,0.0659839,1.01221,0,1.40086,0.62174,0.143689,0,1.22603,3.39232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48356,1269.81,1106.78,4.08768,89.9626,100,0.000216279,0.0060051,0.006288,0,-0.82597,0,2.40344,
1,2,16, 01/02 16,0,0,0.147841,0,0.0659839,0.585595,0,1.44256,0.993024,0.177901,0,0.79942,3.4129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7661,1269.81,1106.78,4.78592,89.9626,100,0.000253223,0.0060051,0.006288,0,-0.332133,0,2.62534,
1,2,17, 01/02 17,0,0,0.147841,0,0.0659839,0.457309,0,1.62943,3.31502,0.212113,0,0.671134,5.8277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33289,1269.81,1106.78,6.19968,89.9626,100,0.000328025,0.0060051,0.006288,0,-0.021622,0,3.07049,
1,2,18, 01/02 18,0,0,0.147841,0,0.0659839,0.47984,0,1.87574,1.6428,0.301063,0,0.693665,4.51327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82542,1269.81,1106.78,7.16031,89.9626,100,0.000378852,0.0060051,0.006288,0,0,0,3.45732,
1,2,19, 01/02 19,0,0,0.147841,0,0.0659839,0.507561,0,2.04213,1.60052,0.574758,0,0.721386,4.9388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7605,1269.81,1106.78,8.51113,89.9626,100,0.000450324,0.0060051,0.006288,0.000284725,0,0,4.97713,
1,2,20, 01/02 20,0,0,0.147841,0,0.0659839,0.000610536,0,2.14768,1.36081,0.800555,0,0.214436,4.52348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2007,1269.81,1106.78,8.50474,89.9626,100,0.000449986,0.0060051,0.006288,0.00038495,0,0,5.32284,
1,2,21, 01/02 21,0,0,0.147841,0,0.0659839,0.606991,0,2.23908,3.65115,0.773183,0,0.820816,7.48423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3245,1269.81,1106.78,8.48575,89.9626,100,0.000448981,0.0060051,0.006288,0.000461274,0,0,5.42002,
1,2,22, 01/02 22,0,0,0.147841,0,0.0659839,1.41277,0,2.22228,0.588302,0.656865,0,1.6266,5.09405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5875,1269.81,1106.78,8.50291,89.9626,100,0.000449889,0.0060051,0.006288,0.00092845,0,0,6.412,
1,2,23, 01/02 23,0,0,0.147841,0,0.0659839,3.60255,0,1.97035,0.511166,0.431067,0,3.81637,6.72896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42,1269.81,1106.78,8.49235,89.9626,100,0.00044933,0.0060051,0.006288,0.00129511,0,0,7.0658,
1,2,24, 01/02 24,0,0,0.147841,0,0.0659839,1.8923,0,1.68828,0.468143,0.266851,0,2.10612,4.52939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3355,1269.81,1106.78,8.49617,89.9626,100,0.000449532,0.0060051,0.006288,0.00200438,0,0,8.57027,
1,3,1, 01/03 01,0,0,0.147841,0,0.0659839,0.407584,0,1.36184,0.439467,0.157374,0,0.621409,2.58009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2566,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00315686,0,0,12.4352,
1,3,2, 01/03 02,0,0,0.147841,0,0.0659839,0.189386,0,1.25303,0.414095,0.130004,0,0.403211,2.20034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7558,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00289045,0,0,11.2565,
1,3,3, 01/03 03,0,0,0.147841,0,0.0659839,0,0,1.18786,0.400672,0.102635,0,0.213825,1.90499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0147,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00147004,0,0,8.3183,
1,3,4, 01/03 04,0,0,0.147841,0,0.0659839,0,0,1.18448,0.391355,0.11632,0,0.213825,1.90598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3326,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000826297,0,0,6.99717,
1,3,5, 01/03 05,0,0,0.147841,0,0.0659839,0,0,1.12495,0.379822,0.143689,0,0.213825,1.86229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.834,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000617401,0,0,6.60562,
1,3,6, 01/03 06,0,0,0.147841,0,0.0659839,0.559864,0,1.219,0.389974,0.212113,0,0.77369,2.59478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6111,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000899268,0,0,7.21596,
1,3,7, 01/03 07,0,0,0.147841,0,0.0659839,0.218928,0,1.369,0.42957,0.287378,0,0.432754,2.5187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0811,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00214869,0,0,9.94118,
1,3,8, 01/03 08,0,0,0.147841,0,0.0659839,2.42849,0,1.47074,0.563384,0.280536,0,2.64232,4.95697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5958,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000723813,0,0,7.20392,
1,3,9, 01/03 09,0,0,0.147841,0,0.0659839,0.375269,0,1.38294,1.61459,0.23264,0,0.589094,3.81926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97556,1269.81,1106.78,4.46339,89.9626,100,0.000236158,0.0060051,0.006288,9.27e-05,-0.336757,0,2.78985,
1,3,10, 01/03 10,0,0,0.147841,0,0.0659839,1.22685,0,1.32977,2.82887,0.198428,0,1.44068,5.79775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74068,1269.81,1106.78,4.39805,89.9626,100,0.000232701,0.0060051,0.006288,0,-0.888605,0,2.60538,
1,3,11, 01/03 11,0,0,0.147841,0,0.0659839,2.34195,0,1.35231,8.18221,0.184743,0,2.55577,12.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75674,1269.81,1106.78,4.44371,89.9626,100,0.000235117,0.0060051,0.006288,0,-2.66295,0,2.61799,
1,3,12, 01/03 12,0,0,0.147841,0,0,4.88531,0,1.33088,4.31612,0.171058,0,5.03315,10.8512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.707,1269.81,1106.78,4.34041,89.9626,100,0.000229651,0.0060051,0.006288,0,-3.64744,0,2.57892,
1,3,13, 01/03 13,0,0,0.147841,0,0,2.9458,0,1.31879,6.27307,0.143689,0,3.09364,10.8292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73107,1269.81,1106.78,4.37915,89.9626,100,0.000231701,0.0060051,0.006288,0,-4.20074,0,2.59783,
1,3,14, 01/03 14,0,0,0.147841,0,0,3.20706,0,1.35906,5.50423,0.143689,0,3.3549,10.3619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69318,1269.81,1106.78,4.31964,89.9626,100,0.000228552,0.0060051,0.006288,0,-5.94186,0,2.56807,
1,3,15, 01/03 15,0,0,0.147841,0,0,1.55358,0,1.42556,6.90203,0.143689,0,1.70142,10.1727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68832,1269.81,1106.78,4.32262,89.9626,100,0.00022871,0.0060051,0.006288,0,-5.12794,0,2.56425,
1,3,16, 01/03 16,0,0,0.147841,0,0,1.85835,0,1.49922,4.69916,0.177901,0,2.0062,8.38248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70945,1269.81,1106.78,4.33844,89.9626,100,0.000229547,0.0060051,0.006288,0,-1.60665,0,2.58085,
1,3,17, 01/03 17,0,0,0.147841,0,0,1.71525,0,1.68241,5.12773,0.212113,0,1.86309,8.88534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37663,1269.81,1106.78,7.14458,89.9626,100,0.00037802,0.0060051,0.006288,0,-0.178957,0,3.89023,
1,3,18, 01/03 18,0,0,0.147841,0,0,0.763398,0,1.89695,4.23448,0.301063,0,0.911239,7.34373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7498,1269.81,1106.78,8.67195,89.9626,100,0.000458833,0.0060051,0.006288,0,0,0,6.53951,
1,3,19, 01/03 19,0,0,0.147841,0,0,0.940076,0,2.03865,5.92222,0.574758,0,1.08792,9.62354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8204,1269.81,1106.78,8.67195,89.9626,100,0.000458833,0.0060051,0.006288,0,0,0,7.38032,
1,3,20, 01/03 20,0,0,0.147841,0,0,1.23979,0,2.11929,3.36002,0.800555,0,1.38763,7.6675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6441,1269.81,1106.78,8.67195,89.9626,100,0.000458833,0.0060051,0.006288,0,0,0,6.45646,
